feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	520885	521718	-						2932205	PPA_RS02400	834		old_locus_tag=PPA0472
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	520885	521718	-	WP_002518777.1	WP_002518777.1		Tat pathway signal protein		2932205	PPA_RS02400	834	277	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	521933	523591	-						23324584	PPA_RS02405	1659		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	521933	523591	-	WP_041444081.1	WP_041444081.1		helicase		23324584	PPA_RS02405	1659	552	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	524016	524171	+						30769285	PPA_RS12220	156		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	524016	524171	+	WP_002516720.1	WP_002516720.1		hypothetical protein		30769285	PPA_RS12220	156	51	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	524223	526352	-						2932337	PPA_RS02410	2130		old_locus_tag=PPA0474
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	524223	526352	-	WP_002531151.1	WP_002531151.1		DEAD/DEAH box helicase		2932337	PPA_RS02410	2130	709	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	526349	526723	-						23324585	PPA_RS02415	375		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	526349	526723	-	WP_002518780.1	WP_002518780.1		hypothetical protein		23324585	PPA_RS02415	375	124	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	526829	527170	+						30769286	PPA_RS12225	342		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	526829	527170	+	WP_002531150.1	WP_002531150.1		hypothetical protein		30769286	PPA_RS12225	342	113	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	527278	528063	+						2932321	PPA_RS02420	786		old_locus_tag=PPA0476
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	527278	528063	+	WP_002513215.1	WP_002513215.1		glucosamine-6-phosphate deaminase		2932321	PPA_RS02420	786	261	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	528186	528593	+						2932284	PPA_RS02425	408		old_locus_tag=PPA0477
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	528186	528593	+	WP_002518782.1	WP_002518782.1		cold-shock protein		2932284	PPA_RS02425	408	135	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	528593	529393	+						2932342	PPA_RS02430	801		old_locus_tag=PPA0478
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	528593	529393	+	WP_002517388.1	WP_002517388.1		DUF3027 domain-containing protein		2932342	PPA_RS02430	801	266	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	529431	529703	-						2933143	PPA_RS02435	273		old_locus_tag=PPA0479
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	529431	529703	-	WP_002516640.1	WP_002516640.1		DUF2530 domain-containing protein		2933143	PPA_RS02435	273	90	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	529827	531230	+						2931747	PPA_RS02440	1404		old_locus_tag=PPA0480
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	529827	531230	+	WP_002518783.1	WP_002518783.1		NCS2 family permease		2931747	PPA_RS02440	1404	467	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	531205	531915	-						2931482	PPA_RS02445	711		old_locus_tag=PPA0481
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	531205	531915	-	WP_002516678.1	WP_002516678.1		hypothetical protein		2931482	PPA_RS02445	711	236	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	531827	532243	-						30769287	PPA_RS12230	417		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	531827	532243	-	WP_073860672.1	WP_073860672.1		hypothetical protein		30769287	PPA_RS12230	417	138	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	532226	533062	+						2931638	PPA_RS02450	837		old_locus_tag=PPA0482
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	532226	533062	+	WP_002525939.1	WP_002525939.1		hypothetical protein		2931638	PPA_RS02450	837	278	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	533059	534222	-						2933081	PPA_RS02455	1164		old_locus_tag=PPA0483
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	533059	534222	-	WP_002518785.1	WP_002518785.1		phosphoserine transaminase		2933081	PPA_RS02455	1164	387	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	534270	535400	+						2933011	PPA_RS02460	1131		old_locus_tag=PPA0484
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	534270	535400	+	WP_011183683.1	WP_011183683.1		N-acetylglucosamine-6-phosphate deacetylase		2933011	PPA_RS02460	1131	376	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	535530	536252	+						2931975	PPA_RS02465	723		old_locus_tag=PPA0485
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	535530	536252	+	WP_002518786.1	WP_002518786.1		metal-dependent transcriptional regulator		2931975	PPA_RS02465	723	240	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	536273	537352	+						2932960	PPA_RS02470	1080		old_locus_tag=PPA0486
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	536273	537352	+	WP_014598777.1	WP_014598777.1		hypothetical protein		2932960	PPA_RS02470	1080	359	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	537474	537839	+						2931319	PPA_RS02475	366		old_locus_tag=PPA0487
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	537474	537839	+	WP_002513226.1	WP_002513226.1		thioredoxin		2931319	PPA_RS02475	366	121	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	538011	539627	+						2932910	PPA_RS02480	1617		old_locus_tag=PPA0488
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	538011	539627	+	WP_002531148.1	WP_002531148.1		sugar porter family MFS transporter		2932910	PPA_RS02480	1617	538	
gene	tRNA	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	539707	539779	-						2931136	PPA_RS02485	73		old_locus_tag=PPA2413
tRNA		GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	539707	539779	-				tRNA-Arg		2931136	PPA_RS02485	73		anticodon=CCT
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	540108	541505	+						2931590	PPA_RS02490	1398		old_locus_tag=PPA0489
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	540108	541505	+	WP_011183685.1	WP_011183685.1		UTP--glucose-1-phosphate uridylyltransferase		2931590	PPA_RS02490	1398	465	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	541502	541873	+						2933137	PPA_RS02495	372		old_locus_tag=PPA0490
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	541502	541873	+	WP_002518790.1	WP_002518790.1		hypothetical protein		2933137	PPA_RS02495	372	123	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	541896	542264	-						2931127	PPA_RS02500	369		old_locus_tag=PPA0491
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	541896	542264	-	WP_002516650.1	WP_002516650.1		large conductance mechanosensitive channel protein MscL		2931127	PPA_RS02500	369	122	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	542376	542951	-						2931349	PPA_RS02505	576		old_locus_tag=PPA0492
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	542376	542951	-	WP_023031457.1	WP_023031457.1		hypothetical protein		2931349	PPA_RS02505	576	191	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	543115	543417	-						2931593	PPA_RS02510	303		old_locus_tag=PPA2407
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	543115	543417	-	WP_002531145.1	WP_002531145.1		FmdB family transcriptional regulator		2931593	PPA_RS02510	303	100	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	543495	544082	-						2931597	PPA_RS02515	588		old_locus_tag=PPA0493
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	543495	544082	-	WP_011183687.1	WP_011183687.1		5-formyltetrahydrofolate cyclo-ligase		2931597	PPA_RS02515	588	195	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	544192	545499	+						2931361	PPA_RS02520	1308		old_locus_tag=PPA0494
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	544192	545499	+	WP_002531143.1	WP_002531143.1		molybdopterin biosynthesis protein		2931361	PPA_RS02520	1308	435	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	545567	546211	+						2931491	PPA_RS02525	645		old_locus_tag=PPA0495
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	545567	546211	+	WP_002531142.1	WP_002531142.1		N-acetyltransferase		2931491	PPA_RS02525	645	214	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	546284	547087	+						2931584	PPA_RS02530	804		old_locus_tag=PPA0496
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	546284	547087	+	WP_002550991.1	WP_002550991.1		hypothetical protein		2931584	PPA_RS02530	804	267	
gene	tRNA	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	547303	547375	+						2931606	PPA_RS02535	73		old_locus_tag=PPA2414
tRNA		GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	547303	547375	+				tRNA-Ala		2931606	PPA_RS02535	73		anticodon=CGC
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	547811	548488	-						2931748	PPA_RS02540	678		old_locus_tag=PPA0497
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	547811	548488	-	WP_002531140.1	WP_002531140.1		dehydrogenase		2931748	PPA_RS02540	678	225	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	548485	548970	-						2931950	PPA_RS02545	486		old_locus_tag=PPA0498
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	548485	548970	-	WP_007401059.1	WP_007401059.1		cyclic pyranopterin monophosphate synthase MoaC		2931950	PPA_RS02545	486	161	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	548936	550297	-						2932938	PPA_RS02550	1362		old_locus_tag=PPA0499
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	548936	550297	-	WP_027585034.1	WP_027585034.1		molybdopterin molybdenumtransferase MoeA		2932938	PPA_RS02550	1362	453	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	550267	550689	-						2931173	PPA_RS02555	423		old_locus_tag=PPA0500
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	550267	550689	-	WP_002516732.1	WP_002516732.1		molybdenum cofactor biosynthesis protein MoaE		2931173	PPA_RS02555	423	140	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	550690	550929	-						2931185	PPA_RS02560	240		old_locus_tag=PPA0501
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	550690	550929	-	WP_002516690.1	WP_002516690.1		MoaD/ThiS family protein		2931185	PPA_RS02560	240	79	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	550932	552011	-						2932983	PPA_RS02565	1080		old_locus_tag=PPA0502
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	550932	552011	-	WP_002516682.1	WP_002516682.1		GTP 3',8-cyclase MoaA		2932983	PPA_RS02565	1080	359	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	552215	552643	+						2931194	PPA_RS02570	429		old_locus_tag=PPA0503
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	552215	552643	+	WP_002518798.1	WP_002518798.1		helix-turn-helix domain-containing protein		2931194	PPA_RS02570	429	142	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	552640	553419	+						2932575	PPA_RS02575	780		old_locus_tag=PPA0504
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	552640	553419	+	WP_002516669.1	WP_002516669.1		molybdate ABC transporter substrate-binding protein		2932575	PPA_RS02575	780	259	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	553579	555357	+						2931008	PPA_RS02580	1779		old_locus_tag=PPA0505
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	553579	555357	+	WP_002516717.1	WP_002516717.1		molybdenum ABC transporter		2931008	PPA_RS02580	1779	592	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	555291	555911	-						2933210	PPA_RS02585	621		old_locus_tag=PPA0506
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	555291	555911	-	WP_002518799.1	WP_002518799.1		MarR family transcriptional regulator		2933210	PPA_RS02585	621	206	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	556013	556726	-						2932782	PPA_RS02590	714		old_locus_tag=PPA0507
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	556013	556726	-	WP_002516742.1	WP_002516742.1		respiratory nitrate reductase subunit gamma		2932782	PPA_RS02590	714	237	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	556723	557313	-						2931624	PPA_RS02595	591		old_locus_tag=PPA0508
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	556723	557313	-	WP_002518800.1	WP_002518800.1		nitrate reductase molybdenum cofactor assembly chaperone		2931624	PPA_RS02595	591	196	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	557396	558919	-						2931024	PPA_RS02600	1524		old_locus_tag=PPA0509
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	557396	558919	-	WP_002516689.1	WP_002516689.1		nitrate reductase subunit beta		2931024	PPA_RS02600	1524	507	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	558919	562656	-						2932512	PPA_RS02605	3738		old_locus_tag=PPA0510
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	558919	562656	-	WP_002517328.1	WP_002517328.1		nitrate reductase subunit alpha		2932512	PPA_RS02605	3738	1245	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	562714	563928	-						2932514	PPA_RS02610	1215		old_locus_tag=PPA0511
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	562714	563928	-	WP_032496502.1	WP_032496502.1		NarK/NasA family nitrate transporter		2932514	PPA_RS02610	1215	404	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	563921	564220	+						30769288	PPA_RS12235	300		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	563921	564220	+	WP_073842150.1	WP_073842150.1		hypothetical protein		30769288	PPA_RS12235	300	99	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	564253	564891	+						2933229	PPA_RS02615	639		old_locus_tag=PPA0512
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	564253	564891	+	WP_002518802.1	WP_002518802.1		molybdenum cofactor guanylyltransferase		2933229	PPA_RS02615	639	212	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	565188	565688	+						2932509	PPA_RS02620	501		old_locus_tag=PPA0513
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	565188	565688	+	WP_002516695.1	WP_002516695.1		molybdenum cofactor biosynthesis protein		2932509	PPA_RS02620	501	166	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	565828	566133	+						2931622	PPA_RS02625	306		old_locus_tag=PPA0514
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	565828	566133	+	WP_002518803.1	WP_002518803.1		hypothetical protein		2931622	PPA_RS02625	306	101	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	566197	567207	-						2931313	PPA_RS02630	1011		old_locus_tag=PPA0515
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	566197	567207	-	WP_002531138.1	WP_002531138.1		dimethyl sulfoxide reductase subunit C		2931313	PPA_RS02630	1011	336	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	567207	567848	-						2932111	PPA_RS02635	642		old_locus_tag=PPA0516
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	567207	567848	-	WP_002516727.1	WP_002516727.1		dimethylsulfoxide reductase, chain B		2932111	PPA_RS02635	642	213	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	568015	570516	-						2932074	PPA_RS02640	2502		old_locus_tag=PPA0517
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	568015	570516	-	WP_075260277.1	WP_075260277.1		dimethyl sulfoxide reductase subunit A		2932074	PPA_RS02640	2502	833	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	571030	571857	-						2931779	PPA_RS02645	828		old_locus_tag=PPA0518
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	571030	571857	-	WP_002531136.1	WP_002531136.1		HesA/MoeB/ThiF family protein		2931779	PPA_RS02645	828	275	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	571872	572750	-						2932456	PPA_RS02650	879		old_locus_tag=PPA0519
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	571872	572750	-	WP_002518806.1	WP_002518806.1		thiazole synthase		2932456	PPA_RS02650	879	292	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	572747	573016	-						23324586	PPA_RS02655	270		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	572747	573016	-	WP_002516628.1	WP_002516628.1		thiamine biosynthesis protein ThiS		23324586	PPA_RS02655	270	89	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	573023	574270	-						2932304	PPA_RS02660	1248		old_locus_tag=PPA0520
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	573023	574270	-	WP_002516648.1	WP_002516648.1		glycine oxidase ThiO		2932304	PPA_RS02660	1248	415	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	574652	574966	-						2932408	PPA_RS02665	315		old_locus_tag=PPA0521
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	574652	574966	-	WP_002516654.1	WP_002516654.1		hypothetical protein		2932408	PPA_RS02665	315	104	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	575037	575219	+						30769289	PPA_RS12240	183		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	575037	575219	+	WP_002522259.1	WP_002522259.1		hypothetical protein		30769289	PPA_RS12240	183	60	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	575226	576671	-						2932431	PPA_RS02670	1446		old_locus_tag=PPA0522
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	575226	576671	-	WP_011183691.1	WP_011183691.1		nitrate reductase		2932431	PPA_RS02670	1446	481	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	576754	578283	-						2931145	PPA_RS02675	1530		old_locus_tag=PPA0523
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	576754	578283	-	WP_002531134.1	WP_002531134.1		phospholipid carrier-dependent glycosyltransferase		2931145	PPA_RS02675	1530	509	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	578398	579258	+						2932748	PPA_RS02680	861		old_locus_tag=PPA0524
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	578398	579258	+	WP_002516667.1	WP_002516667.1		16S rRNA (cytidine(1402)-2'-O)-methyltransferase		2932748	PPA_RS02680	861	286	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	579255	580163	+						2932726	PPA_RS02685	909		old_locus_tag=PPA0525
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	579255	580163	+	WP_002516665.1	WP_002516665.1		TatD family deoxyribonuclease		2932726	PPA_RS02685	909	302	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	580160	581056	+						2932150	PPA_RS02690	897		old_locus_tag=PPA0526
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	580160	581056	+	WP_002516707.1	WP_002516707.1		ribosomal RNA small subunit methyltransferase A		2932150	PPA_RS02690	897	298	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	581080	582051	+						2932210	PPA_RS02695	972		old_locus_tag=PPA0527
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	581080	582051	+	WP_002516739.1	WP_002516739.1		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase		2932210	PPA_RS02695	972	323	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	582048	582587	+						2931982	PPA_RS02700	540		old_locus_tag=PPA0528
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	582048	582587	+	WP_002516637.1	WP_002516637.1		MarR family transcriptional regulator		2931982	PPA_RS02700	540	179	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	582569	583201	-						2932338	PPA_RS02705	633		old_locus_tag=PPA0529
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	582569	583201	-	WP_002517279.1	WP_002517279.1		TetR/AcrR family transcriptional regulator		2932338	PPA_RS02705	633	210	
gene	tRNA	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	583335	583413	+						2932233	PPA_RS02710	79		old_locus_tag=PPA2415
tRNA		GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	583335	583413	+				tRNA-Gln		2932233	PPA_RS02710	79		anticodon=TTG
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	583502	584800	+						2932483	PPA_RS02715	1299		old_locus_tag=PPA0530
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	583502	584800	+	WP_002516661.1	WP_002516661.1		UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase		2932483	PPA_RS02715	1299	432	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	584797	585765	+						2931013	PPA_RS02720	969		old_locus_tag=PPA0531
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	584797	585765	+	WP_002513271.1	WP_002513271.1		ribose-phosphate diphosphokinase		2931013	PPA_RS02720	969	322	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	585914	587191	+						2932280	PPA_RS02725	1278		old_locus_tag=PPA0532
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	585914	587191	+	WP_002517376.1	WP_002517376.1		hypothetical protein		2932280	PPA_RS02725	1278	425	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	587227	587796	+						2932053	PPA_RS02730	570		old_locus_tag=PPA0533
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	587227	587796	+	WP_002516701.1	WP_002516701.1		hypothetical protein		2932053	PPA_RS02730	570	189	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	587798	588412	+						2932060	PPA_RS02735	615		old_locus_tag=PPA0534
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	587798	588412	+	WP_002518812.1	WP_002518812.1		hypothetical protein		2932060	PPA_RS02735	615	204	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	588591	589208	+						2933108	PPA_RS02740	618		old_locus_tag=PPA0535
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	588591	589208	+	WP_002516656.1	WP_002516656.1		50S ribosomal protein L25		2933108	PPA_RS02740	618	205	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	589205	589807	+						2931621	PPA_RS02745	603		old_locus_tag=PPA0536
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	589205	589807	+	WP_002516655.1	WP_002516655.1		peptidyl-tRNA hydrolase		2931621	PPA_RS02745	603	200	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	589847	590116	-						2931619	PPA_RS02750	270		old_locus_tag=PPA0537
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	589847	590116	-	WP_073842149.1	WP_073842149.1		lactate dehydrogenase		2931619	PPA_RS02750	270	89	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	590153	590362	-						30769290	PPA_RS12245	210		old_locus_tag=PPA0538
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	590153	590362	-	WP_073842148.1	WP_073842148.1		lactate dehydrogenase		30769290	PPA_RS12245	210	69	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	590363	590494	-						23324588	PPA_RS02760	132		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	590363	590494	-	WP_002518815.1	WP_002518815.1		hypothetical protein		23324588	PPA_RS02760	132	43	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	590556	590744	+						30769291	PPA_RS12250	189		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	590556	590744	+	WP_002525811.1	WP_002525811.1		hypothetical protein		30769291	PPA_RS12250	189	62	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	590844	591899	-						2932159	PPA_RS02765	1056		old_locus_tag=PPA0539
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	590844	591899	-	WP_002520084.1	WP_002520084.1		alcohol dehydrogenase		2932159	PPA_RS02765	1056	351	
